table name,result label,true label
10151359_0_8168779773862259178.csv,VideoGame,Book
16767252_0_2409448375013995751.csv,VideoGame,Film
20135078_0_7570343137119682530.csv,VideoGame,Film
21362676_0_6854186738074119688.csv,VideoGame,Film
35188621_0_6058553107571275232.csv,VideoGame,Film
50245608_0_871275842592178099.csv,VideoGame,Film
54719588_0_8417197176086756912.csv,VideoGame,Film
69881946_0_1105130426898457358.csv,VideoGame,Film
79966524_0_1484492112455633784.csv,VideoGame,Animal
84548468_0_5955155464119382182.csv,VideoGame,Film
9475172_1_1023126399856690702.csv,VideoGame,TelevisionShow
10630177_0_4831842476649004753.csv,Country,Building
12125836_0_1134348206297032434.csv,Country,RadioStation
13357355_0_5384862281417742530.csv,Country,FictionalCharacter
13395751_3_369722706637560735.csv,Country,Lake
13719111_1_5719401842463579519.csv,Country,Bird
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.csv,Country,cricketer
19272019_0_1508498249156534553.csv,Country,University
2066887_0_746204117268168398.csv,Country,Saint
21337553_0_8832378999628437599.csv,Country,Mountain
22987653_0_7774852112768859306.csv,Country,Scientist
25933880_0_4058554985574416690.csv,Country,Wrestler
26270372_1_3774607938887520564.csv,Country,Monarch
26310680_0_5150772059999313798.csv,Country,Currency
27466715_0_3913547177671701530.csv,Country,VideoGame
28154036_0_909001972154294543.csv,Country,PoliticalParty
28494901_6_7026744149694237309.csv,Country,Scientist
29857217_0_961038783966485949.csv,Country,Newspaper
33401079_0_9127583903019856402.csv,Country,Person
37856682_0_6818907050314633217.csv,Country,AdministrativeRegion
38390205_1_8150763005563658139.csv,Country,Hospital
3962429_0_3452614694863053249.csv,Country,Hotel
39650055_5_7135804139753401681.csv,Country,Company
40534006_0_4617468856744635526.csv,Country,Wrestler
40844462_1_6230938203735169234.csv,Country,Film
41839679_0_3009344178474568371.csv,Country,Monarch
43237185_1_3636357855502246981.csv,Country,Scientist
45593932_0_6869375743660252130.csv,Country,Scientist
4730513_0_8573199053866072336.csv,Country,Scientist
48805028_0_8933391169600128370.csv,Country,Bird
51130304_0_3035822254995425429.csv,Country,Monarch
51741865_0_9203644246202164492.csv,Country,RadioStation
53822652_0_5767892317858575530.csv,Country,Film
63450419_0_8012592961815711786.csv,Country,Plant
64207896_0_3206705146602325658.csv,Country,Monarch
64734047_0_5880705307495695536.csv,Country,Hospital
6869358_0_1379459120563510331.csv,Country,Novel
69381058_0_984708047398578866.csv,Country,Mountain
72017594_0_7055198579167316152.csv,Country,Museum
80184932_0_4240003884724905487.csv,Country,Company
84575189_0_6365692015941409487.csv,Country,AcademicJournal
90325533_0_6668263142989366843.csv,Country,Hospital
91959037_0_7907661684242014480.csv,Country,VideoGame
93078729_0_1451251196788678526.csv,Country,Lake
98458255_0_5873264818593370400.csv,Country,AcademicJournal
55961337_0_6548713781034932742.csv,Country,Currency
61069974_0_1894536874590565102.csv,Country,Currency
78650283_0_5937576517849452289.csv,Country,Currency
49087820_0_461228320225084868.csv,Country,Currency
97941125_0_8220652154649529701.csv,Country,Currency
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.csv,Election,Political Party
1614988_0_8789868670151796042.csv,swimmer,Scientist
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,Lake,mountain
45533669_1_7463037039059239824.csv,Lake,RadioStation
53583534_0_503521622577229691.csv,Lake,Building
18422942_0_3659164506677528063.csv,Country,Work
28036255_0_5705563063166785494.csv,Country,Mountain
37815699_0_8391788584341609964.csv,Country,Person
48944826_0_2321751364268052533.csv,Country,VideoGame
54773498_0_4341462266113591159.csv,Country,Building
61626303_0_266372209664087642.csv,Country,RadioStation
70515524_0_5425995199745290007.csv,Country,Monarch
8468806_0_4382447409703007384.csv,Country,Lake
98312357_0_6395417306876145729.csv,Country,Monarch
99070098_0_2074872741302696997.csv,Country,Mountain
19361188_0_1640726405141876003.csv,Monarch,Mountain
43226272_0_5995103035300388365.csv,Monarch,Hospital
76836443_2_249332777049648171.csv,Monarch,Scientist
46646666_0_5802598112171303204.csv,City,RadioStation
21333456_2_1886495893795687264.csv,BaseballPlayer,Scientist
30166286_0_1837439231599898748.csv,BaseballPlayer,Scientist
44206774_0_3810538885942465703.csv,BaseballPlayer,GolfPlayer
30645756_0_2413317245475669227.csv,Currency,PoliticalParty
33167985_0_5220049369716352813.csv,Currency,Mammal
38732532_0_1420803645394505878.csv,Currency,Monarch
62564020_0_3836030043284699244.csv,Currency,Animal
68779923_5_2067037721454758189.csv,Currency,Country
47709681_0_4437772923903322343.csv,Film,VideoGame
68779923_0_3859283110041832023.csv,Lake,Country
88523363_0_8180214313099580515.csv,Animal,Plant
60319454_0_3938426910282115527.csv,Bird,Animal
90196673_0_5458330029110291950.csv,Bird,Animal
92896255_0_4593968708343548527.csv,Bird,Plant
68779923_1_3240042497463101224.csv,Hospital,Country
78005071_0_8643954006825971723.csv,Hospital,PoliticalParty
