table name,result label,true label
10151359_0_8168779773862259178.csv,VideoGame,Book
73988811_0_2775758476756716904.csv,VideoGame,Film
79966524_0_1484492112455633784.csv,VideoGame,Animal
9475172_1_1023126399856690702.csv,VideoGame,TelevisionShow
10630177_0_4831842476649004753.csv,Mountain,Building
13357355_0_5384862281417742530.csv,Mountain,FictionalCharacter
13719111_1_5719401842463579519.csv,Mountain,Bird
19272019_0_1508498249156534553.csv,Mountain,University
2066887_0_746204117268168398.csv,Mountain,Saint
21245481_0_8730460088443117515.csv,Mountain,Lake
21333456_2_1886495893795687264.csv,Mountain,Scientist
22987653_0_7774852112768859306.csv,Mountain,Scientist
26270372_1_3774607938887520564.csv,Mountain,Monarch
27466715_0_3913547177671701530.csv,Mountain,VideoGame
28154036_0_909001972154294543.csv,Mountain,PoliticalParty
28494901_6_7026744149694237309.csv,Mountain,Scientist
29857217_0_961038783966485949.csv,Mountain,Newspaper
33401079_0_9127583903019856402.csv,Mountain,Person
37541068_1_1156932518917623732.csv,Mountain,BaseballPlayer
37856682_0_6818907050314633217.csv,Mountain,AdministrativeRegion
38390205_1_8150763005563658139.csv,Mountain,Hospital
38732532_0_1420803645394505878.csv,Mountain,Monarch
40534006_0_4617468856744635526.csv,Mountain,Wrestler
41336118_0_4331895026409635103.csv,Mountain,Company
43226272_0_5995103035300388365.csv,Mountain,Hospital
43237185_1_3636357855502246981.csv,Mountain,Scientist
45533669_1_7463037039059239824.csv,Mountain,RadioStation
51130304_0_3035822254995425429.csv,Mountain,Monarch
53583534_0_503521622577229691.csv,Mountain,Building
53989675_0_8697482470743954630.csv,Mountain,Lake
5873256_0_7795190905731964989.csv,Mountain,Airline
60319454_0_3938426910282115527.csv,Mountain,Animal
68442591_0_8506821153001360777.csv,Mountain,Hospital
76836443_2_249332777049648171.csv,Mountain,Scientist
78005071_0_8643954006825971723.csv,Mountain,PoliticalParty
84575189_0_6365692015941409487.csv,Mountain,AcademicJournal
86627271_6_2239821927452848323.csv,Mountain,Lake
86747932_0_7532457067740920052.csv,Mountain,Airline
90325533_0_6668263142989366843.csv,Mountain,Hospital
90723763_0_874013697986950454.csv,Mountain,Company
91959037_0_7907661684242014480.csv,Mountain,VideoGame
92896255_0_4593968708343548527.csv,Mountain,Plant
98458255_0_5873264818593370400.csv,Mountain,AcademicJournal
28079336_2_2139598421036200532.csv,Country,Company
54112392_0_160015365721559357.csv,Country,Lake
54719588_0_8417197176086756912.csv,Country,Film
12746760_0_6703465836620308483.csv,Country,PoliticalParty
24859353_0_7027810986004269522.csv,Country,Currency
28646774_0_3256889721737611537.csv,Country,PoliticalParty
39606331_0_1646213676302448706.csv,Country,PoliticalParty
40844462_1_6230938203735169234.csv,Country,Film
44005578_0_5400481538370055338.csv,Country,PoliticalParty
4730513_0_8573199053866072336.csv,Country,Scientist
12151277_0_1262954734066545952.csv,RadioStation,Hospital
32812626_0_5428724146873158593.csv,RadioStation,Hospital
9834884_0_3871985887467090123.csv,Country,Museum
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,Lake,mountain
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.csv,PoliticalParty,Political Party
33242247_1_7232384061498591611.csv,PoliticalParty,Election
5972322_0_3150366936082777235.csv,PoliticalParty,Election
1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10.csv,Country,swimmer
18422942_0_3659164506677528063.csv,Country,Work
3887681_0_7938589465814037992.csv,Country,Lake
70515524_0_5425995199745290007.csv,Country,Monarch
8468806_0_4382447409703007384.csv,Country,Lake
99070098_0_2074872741302696997.csv,Country,Mountain
1614988_0_8789868670151796042.csv,cricketer,Scientist
48944826_0_2321751364268052533.csv,cricketer,VideoGame
54773498_0_4341462266113591159.csv,cricketer,Building
61626303_0_266372209664087642.csv,cricketer,RadioStation
98312357_0_6395417306876145729.csv,cricketer,Monarch
41194422_0_7231546114369966811.csv,Company,Country
41194422_1_1172256090552737974.csv,Company,Country
25933880_0_4058554985574416690.csv,Mountain,Wrestler
3962429_0_3452614694863053249.csv,Mountain,Hotel
30166286_0_1837439231599898748.csv,Film,Scientist
21801207_0_8144839668470123042.csv,Monarch,VideoGame
30645756_0_2413317245475669227.csv,Monarch,PoliticalParty
64734047_0_5880705307495695536.csv,Country,Hospital
78650283_0_5937576517849452289.csv,Country,Currency
39650055_5_7135804139753401681.csv,VideoGame,Company
6869358_0_1379459120563510331.csv,VideoGame,Novel
24417511_0_3058323105166963431.csv,VideoGame,BaseballPlayer
45593932_0_6869375743660252130.csv,VideoGame,Scientist
69881946_0_1105130426898457358.csv,VideoGame,Film
39107734_2_2329160387535788734.csv,Film,Airport
69537082_0_7789694313271016902.csv,Film,Country
49772588_0_6549847739640234347.csv,Saint,Country
76275868_0_4528346580716713695.csv,Saint,Country
84548468_0_5955155464119382182.csv,VideoGame,Film
88732174_0_7321365014357502211.csv,VideoGame,BaseballPlayer
44206774_0_3810538885942465703.csv,VideoGame,GolfPlayer
