table name,result label,true label
Book_1carpetcleaning.co.uk_September2020_CPA.csv,Movie,Book
Book_7sat.co.uk_September2020_CPA.csv,Movie,Book
Book_abebooks.de_September2020_CPA.csv,Movie,Book
Book_aionianbible.org_September2020_CPA.csv,Movie,Book
Book_allncertsolutions.com_September2020_CPA.csv,Movie,Book
Book_americanabookstore.com_September2020_CPA.csv,Movie,Book
Book_antiquariatbotanicum.com_September2020_CPA.csv,Movie,Book
Book_archivesfinebooks.com.au_September2020_CPA.csv,Movie,Book
Book_artforum.sk_September2020_CPA.csv,Movie,Book
Book_atlantavintagebooks.com_September2020_CPA.csv,Movie,Book
Book_auth-e83.co.uk_September2020_CPA.csv,Movie,Book
Book_autorenwelt.de_September2020_CPA.csv,Movie,Book
Book_avalontravelbooks.com_September2020_CPA.csv,Movie,Book
Book_backintimerarebooks.com_September2020_CPA.csv,Movie,Book
Book_balibrary.org_September2020_CPA.csv,Movie,Book
Book_bapeten.go.id_September2020_CPA.csv,Movie,Book
Book_bartlebysbooks.com_September2020_CPA.csv,Movie,Book
Book_belgiqueloisirs.be_September2020_CPA.csv,Movie,Book
Book_belmont.wa.gov.au_September2020_CPA.csv,Movie,Book
Book_isach.info_September2020_CPA.csv,Movie,Book
Event_887theriver.ca_September2020_CPA.csv,Movie,Event
Event_aaronjonahlewis.com_September2020_CPA.csv,Movie,Event
Event_aboriginalbuzz.com_September2020_CPA.csv,Movie,Event
Event_abundancenc.org_September2020_CPA.csv,Movie,Event
Event_acspower.com_September2020_CPA.csv,Movie,Event
Event_activetrainingnetwork.com_September2020_CPA.csv,Movie,Event
Event_adaptmovement.org_September2020_CPA.csv,Movie,Event
Event_adelsheim.de_September2020_CPA.csv,Movie,Event
Event_anacortes.org_September2020_CPA.csv,Movie,Event
Event_aneventapart.com_September2020_CPA.csv,Movie,Event
Event_annmontgomery.com.au_September2020_CPA.csv,Movie,Event
Event_anth.org.uk_September2020_CPA.csv,Movie,Event
Event_aquilaboats.com_September2020_CPA.csv,Movie,Event
Hotel_4holiday.ro_September2020_CPA.csv,Movie,Hotel
Hotel_accommodationairliebeach.com_September2020_CPA.csv,Movie,Hotel
Hotel_agatur.ro_September2020_CPA.csv,Movie,Hotel
Hotel_alilahotels.com_September2020_CPA.csv,Movie,Hotel
Hotel_almatours.ro_September2020_CPA.csv,Movie,Hotel
